# SELECT write_total_time_max,hints,mpihome,mpihost,obj_size,total_size_mb,test_type,strided,target,num_hosts FROM experiment WHERE  !isnull(write_total_time_max) && system rlike 'gpfst' && isnull(error) && user like 'johnbents' && obj_size=47001 && isnull(user_error) (1239077479)
# xpoint ypoint ydev
# N-1, strided, GPFS yaxis 1
1 767.501645792189 0
2 355.775173459274 0
3 244.013257607302 0
4 216.689581614712 0
5 152.024753464819 0
6 124.65659855559 0
7 114.491063843963 0
8 106.520659559234 12.5308469842544
12 146.503339273521 0
16 103.553189539543 0
20 110.723356065716 0
24 111.425882117749 0
28 149.286451741824 0
32 152.167324440892 0
36 149.219210493545 0


# N-1, strided, GPFS yaxis 2


# N-1, strided, PLFS yaxis 1
1 286.927331489688 0
2 295.846972687973 0
3 300.703826483866 0
4 294.773403076821 0
5 559.955208845004 0
6 592.96994481016 0
7 562.983503626537 0
8 554.40776977782 19.1784021260078
12 879.946735466689 0
16 1176.69877050886 0
20 1433.09326192179 0
24 1722.95002829843 0
28 1977.91029383634 0
32 2224.29154499602 0
36 2484.13635909893 0


# N-1, strided, PLFS yaxis 2


# N-N, GPFS yaxis 1
1 766.964434518849 0
2 775.229159028032 0
3 771.131539723381 0
4 775.31310673544 0
5 1530.87242729773 0
6 1506.97042672511 0
7 1521.00021649708 0
8 1481.2426854958 225.689688617081
12 2265.08471753882 0
16 2888.93143751457 0
20 3158.12947245798 0
24 3754.84869411833 0
28 4338.45923411054 0
32 4389.38222492239 0
36 4494.74252043653 0


# N-N, GPFS yaxis 2


