# SELECT write_total_time_max,hints,mpihome,mpihost,obj_size,total_size_mb,test_type,strided,target,write_total_op_time_max,num_hosts FROM experiment WHERE  !isnull(write_total_op_time_max) && system rlike 'gpfst' && isnull(error) && user like 'johnbents' && obj_size=47001 && isnull(user_error) (1239077479)
# xpoint ypoint ydev
# N-1, strided, GPFS yaxis 1
1 767.520833333333 0
2 355.899679206766 0
3 244.165756997508 0
4 216.70222162964 0
5 152.098228421912 0
6 124.686718880187 0
7 114.53207921287 0
8 106.693351598864 12.3631138537422
12 146.571690410731 0
16 103.566994675754 0
20 110.776856750115 0
24 111.435164359141 0
28 149.307585333966 0
32 152.242113242755 0
36 149.232838497559 0


# N-1, strided, GPFS yaxis 2


# N-1, strided, PLFS yaxis 1
1 287.051666666667 0
2 295.9875 0
3 300.84665961117 0
4 294.915875701036 0
5 560.468488287793 0
6 594.506712444063 0
7 563.382276962051 0
8 565.171196588867 21.74062879377
12 881.068648855852 0
16 1177.96370060499 0
20 1435.8038578511 0
24 1725.01749941669 0
28 1981.73409441273 0
32 2234.20743444242 0
36 2488.48352527458 0


# N-1, strided, PLFS yaxis 2


# N-N, GPFS yaxis 1
1 766.99 0
2 775.255 0
3 771.709873919819 0
4 775.338949859587 0
5 1530.94896836772 0
6 1507.04577461854 0
7 1522.11556088862 0
8 1491.59338017848 225.181937598133
12 2266.99110029666 0
16 2891.41066979945 0
20 3162.65582294514 0
24 3759.07106920334 0
28 4342.94044148272 0
32 4394.75877010249 0
36 4510.72725455575 0


# N-N, GPFS yaxis 2


