# SELECT write_total_time_max,hints,mpihome,mpihost,obj_size,total_size_mb,test_type,strided,target,write_file_open_wait_time_max,num_hosts FROM experiment WHERE  !isnull(write_file_open_wait_time_max) && system rlike 'gpfst' && isnull(error) && user like 'johnbents' && obj_size=47001 && isnull(user_error) (1239077479)
# xpoint ypoint ydev
# N-1, strided, GPFS yaxis 1
1 0.00112796 0
2 0.00138307 0
3 0.000805139 0
4 0.00129795 0
5 0.00366688 0
6 0.004282 0
7 0.0093689 0
8 0.006353975 0.000567075
12 0.0107231 0
16 0.00861502 0
20 0.012794 0
24 0.00957203 0
28 0.014385 0
32 0.0180049 0
36 0.00887203 0


# N-1, strided, GPFS yaxis 2


# N-1, strided, PLFS yaxis 1
1 0.00714302 0
2 0.00415301 0
3 0.00543904 0
4 0.00352192 0
5 0.05865 0
6 0.256954 0
7 0.030097 0
8 0.0699500727272727 0.0814347956025063
12 0.0717049 0
16 0.0569401 0
20 0.082197 0
24 0.0667238 0
28 0.12601 0
32 0.451831 0
36 0.121206 0


# N-1, strided, PLFS yaxis 2


# N-N, GPFS yaxis 1
1 0.00251484 0
2 0.00223994 0
3 0.00328589 0
4 0.00234723 0
5 0.003443 0
6 0.00278616 0
7 0.00432396 0
8 0.00621544333333333 0.00353932419542049
12 0.010175 0
16 0.0169599 0
20 0.00623417 0
24 0.00756502 0
28 0.0100961 0
32 0.00705195 0
36 0.014153 0


# N-N, GPFS yaxis 2


