# SELECT write_total_time_max,hints,mpihome,mpihost,obj_size,total_size_mb,test_type,target,num_ionodes FROM experiment WHERE  !isnull(write_total_time_max) && mpihost like 'rrp3' && isnull(error) && isnull(user_error) && ( (user like 'meghan' && date_ts >= 1236973186 && test_type=2 && obj_size=10485760 && strided = 0 && num_ionodes*120<7500) || (mpihost like 'rrp3' && isnull(hints) && (obj_size=1048576) && !isnull(write_total_time_max) && date_ts >= 1237490575 && user like 'johnbent' && num_hosts/num_ionodes>100) || (mpihost like 'rrp3' && isnull(hints) && (obj_size=1048576) && !isnull(write_total_time_max) && date_ts >= 1237490575 && user like 'johnbent' && num_hosts/num_ionodes>100) ) (1238695572)
# xpoint ypoint ydev
# N-1, PLFS yaxis 1
720 3605.3521634488 0.690112852636503
1440 7254.88124418899 75.2255709952397
2160 10636.2783973348 48.0925695324558
2880 14078.5844746469 52.8529068412931
3600 16923.4956122559 199.528051291352
4320 19690.1253408721 0
5040 22681.8061367852 0
5760 25015.5755598617 5131.86763636089
6480 26238.6407192311 0
7200 25911.8564671223 0


# N-1, PLFS yaxis 2


# N-1, PanFS yaxis 1
720 2489.15035709019 435.236718823121
1440 2564.27526546763 309.407943433974
2160 2104.2648864942 23.6143859619176
2880 1900.09432218372 0
3600 1880.54017274944 0
4320 1633.18551762213 126.430543580235
5040 1596.65049952328 0
5760 1404.84510901699 0
6480 1341.47512644856 17.4979017955326
7200 409.901485811895 43.5484497742717


# N-1, PanFS yaxis 2


# N-N, PanFS yaxis 1
720 3518.35451774925 10.8918964650011
1440 6981.31692748524 352.884045446601
2160 10204.1858090863 4.14006946870151
2880 13703.772485053 620.67761074442
3600 16539.6679013534 853.729762572399
4320 19560.866310644 0
5760 24931.6257336321 573.560842501014
6480 25710.6748204969 0
7200 26955.2128245551 0


# N-N, PanFS yaxis 2


