# SELECT write_total_time_max,hints,mpihome,mpihost,obj_size,total_size_mb,test_type,strided,target,write_total_op_time_max,num_hosts FROM experiment WHERE  !isnull(write_total_op_time_max) && mpihost like 'rrz' && test_type=2 && isnull(error) && target rlike 'stat' && total_size_mb>20*1000 && total_size_mb<22*1024 && isnull(user_error) (1239381517)
# xpoint ypoint ydev
# N-1, strided, PanFS yaxis 1
2 2.35188769815571 0.0144505142334275
100 17.4725411309164 7.37889968465512
200 25.6794229558084 2.96340060303098
300 25.6589134498335 3.22789635202382
400 25.3612906320924 3.82793303316329
500 26.1214805688632 1.47943529693928
800 25.8245403384683 0


# N-1, strided, PanFS yaxis 2


# N-1, strided, PLFS yaxis 1
2 109.310721303999 0.478704979117211
4 108.474046610169 0
6 102.290049646878 0
8 102.088152017866 0
10 130.924724308774 0
12 155.375581333596 0
14 184.277538827002 0
16 208.335579823299 0
18 229.756609245371 0
20 250.741945120548 0
22 250.481674663335 2.77403202071039
24 273.680633579039 5.50561282367454
26 298.981144804951 5.00695679456433
28 328.778586959968 1.60723530204871
30 354.682496861096 1.23341759354003
32 386.657031659402 1.79286363967793
34 399.217115861798 3.77864945155329
36 423.803069027245 0
38 419.08192621364 20.300927839625
40 448.490417208507 20.6948833780037
42 477.556768260853 14.5162588864462
44 467.331736295902 28.455943393451
46 512.598928698694 20.4798225475352
48 520.042290707424 11.8063483950069
50 520.222967359161 8.08334861495979
52 527.269459389366 44.6238846676477
54 569.761805759719 15.5898963010461
56 576.523010244733 16.7932864250047
58 534.672509436278 2.82817955275823
60 548.825414568877 29.0270404695813
62 572.16343586851 25.8846266495597
64 588.34130130963 7.71269359123932
66 580.409764618434 10.0229294913091
68 593.502940261339 9.86395993959059
70 591.791631188568 9.60559432915159
72 607.796342474078 19.1731559429745
74 632.069337714532 23.9513178960869
76 620.796083967995 38.2609576440907
78 627.557457027812 32.1324379823524
80 631.756818363908 11.2299507837785
82 641.486690947958 16.4382320182368
84 655.924941548303 5.04184357003601
86 628.077175306824 7.91460027335791
88 669.361475217727 18.4745970732907
90 663.161608174196 6.54224936345537
92 648.554279173778 13.8116947891884
94 676.985942686362 0
96 659.261167002012 0
98 703.088897204989 0
100 428.068290602936 0
102 720.100430062909 0
104 684.672787209714 0
106 658.14237506026 0
108 727.036459757219 0
110 687.627817011374 0
112 696.251768033946 0
114 689.380828928319 0
116 710.139247750013 0
118 679.030643032871 0
120 670.473521187634 0
122 678.450392073068 0
124 701.395858667169 0
126 700.196941929484 0
128 734.041676076584 0
130 683.803811692887 0
132 709.38196077888 0
134 703.726616281907 0
136 707.430324513127 0
138 728.233381824131 0
140 740.205328417019 0
142 720.702678159746 0
144 440.271723820562 0
146 784.225865628028 0
148 747.775347527779 0
150 742.453079853974 0
152 738.221952995983 0
154 756.920824583715 0
156 768.638757804082 0
158 718.733874166722 0
160 750.963672039757 0
162 792.495036553414 0
164 803.645941691626 0
166 703.28443713272 0
170 757.149936025915 0
172 779.42212021209 0
174 785.67810269399 0
176 765.650644344832 0
178 778.344244470297 0
180 778.553395991118 0
182 797.649469436091 0
184 789.290710984865 0
186 792.88593566674 0
188 798.885776484266 0
190 804.515000884139 0
192 762.924706180458 0
194 812.359176160706 0
196 804.810280796211 0
198 775.89859218978 0
200 814.257479291023 0
202 841.274081136169 0
204 817.527312803476 0
206 799.999218411108 0
208 814.8758422785 0
210 767.34693877551 0
212 813.129608525947 0
214 834.586466165414 0
216 841.96935930857 0
218 815.944709277299 0
220 831.005354149161 0
222 847.085491156373 0
224 840.373871673515 0
226 856.399466240552 0
228 797.430483595765 0
230 852.571309598168 0
232 838.876461575019 0
234 840.952592190979 0
236 856.679731781694 0
238 893.715757536071 0
240 861.702620225192 0
242 874.513203293137 0
244 850.549404897908 0
246 848.709924771517 0
248 846.96393117141 0
252 864.233897003279 0
254 843.567522572084 0
256 845.644154545868 0
258 866.567884509547 0
260 856.766877968158 0
262 867.976372710735 0
264 856.97361921586 0
266 885.382383088041 0
268 900.903557454899 0
270 846.721606344664 0
272 884.827684580439 0
274 865.621789369987 0
276 854.84948436391 0
278 563.971329561294 0
280 881.890951076186 0
282 908.861725830648 0
284 882.4249582922 0
286 853.019116348061 0
290 824.770675464994 0
292 891.125486474486 0
294 868.636483173424 0
296 876.843872603608 0
298 881.861482674568 0
300 871.574118207817 0
302 890.643017836706 0
304 859.104913656321 0
306 866.951445130754 0
308 868.170311287512 0
310 842.181925911296 0
312 868.03892056897 0
314 873.816980858345 0
316 862.696997669116 0
318 832.070440169759 0
320 4923.34151152162 0
322 3685.92144884522 0
324 3819.93840253255 0
326 2855.347613721 0
328 4721.97098346131 0
330 2727.02326479776 0
332 3692.87841052341 0
334 3819.24486611975 0
336 2513.72146861778 0
338 4072.75491280713 0
340 2258.26738987479 0
342 3666.57529387104 0
344 3500.42650812075 0
346 2813.4422507648 0
348 4438.09771647908 0
350 2795.80817226151 0
352 3401.61014119879 0
354 4335.76713457502 0
356 3233.8218871477 0
358 3831.9437816392 0
360 5067.12131822557 0
362 2321.33747780959 0
364 3854.13019827512 0
366 2854.98346190102 0
368 3321.18132452029 0
370 2656.85569405967 0
372 1567.11209073793 0
374 2687.39234097975 0
376 1301.70999936431 0
378 1441.49194655924 0
380 2856.33567807227 0
382 3501.52431986951 0
384 3961.15760705465 0
386 2679.76774176655 0
388 2658.25940946615 0
390 1838.27689323527 0
392 1577.9610714974 0
394 2763.33979554917 0
396 2758.97351555823 0
398 2593.09573986798 0
400 5361.13300324935 0
402 2025.59992083519 0
404 2275.13945206485 0
406 1816.3203747405 0
408 1498.62325526898 0
410 1825.3209700428 0
412 4216.79770013086 0
414 1817.02293871174 0
416 5033.91759953383 0
418 4902.80012257718 0
420 2968.28901066703 0
424 2809.17057237163 0
426 1085.81628376981 0
428 1609.50928204685 0
430 2514.2483737201 0
432 2325.74206348305 0
434 2075.40625836653 0
436 3104.37688982751 0
438 4053.50299306369 0
440 1073.16446671769 0
442 3120.57148520588 0
444 1019.22607938285 0
446 2785.19125222109 0
448 2083.96560960259 0
450 2570.96680618292 0
452 4108.16638325808 0
456 1691.03487036226 0
458 3183.32965245224 0
460 2056.86840040546 0
462 3104.2707239657 0
464 2128.07949388781 0
466 1495.37946803615 0
468 2526.09188637645 0
470 1437.0469139268 0
472 1981.47180618445 0
474 2473.06681171245 0
476 4171.26373514362 0
478 1325.36191987564 0
480 1396.09986421851 0
482 1751.26894863433 0
484 1281.89206293509 0
486 2284.57311800965 0
488 1536.71790560826 0
490 2429.94215412667 0
492 1493.15997986298 0
494 1460.88595664467 0
496 1376.26444236831 0
498 1040.44485785592 0
500 2111.51333033389 0
504 1817.98479357635 0
506 1017.96279065139 0
508 1157.08019625133 0
510 2783.10099789973 0
512 1590.32185390334 0
514 2418.26109877225 0
516 1037.38691939285 0
518 1276.10466166913 0
520 1386.70398026806 0
522 1042.95466123281 0
524 1158.15783514493 0
526 1055.11989647297 0
528 2885.78863383911 0
532 2341.71934390655 0
534 2106.38179617446 0
536 1726.22089542169 0
538 2124.85055047243 0
540 2341.54663836911 0
542 4138.89316035254 0
544 1780.13487056776 0
548 2296.04277594807 0
550 2660.432726625 0
552 1822.94562041195 0
554 2628.23057033752 0
556 3158.0775161254 0
558 1939.2707178131 0
560 923.797696997065 0
562 2724.01366867577 0
564 3373.90370208047 0
568 1041.08453404808 0
570 1259.27452850506 0
572 3580.92344419728 0
574 3791.46076079824 0
578 1514.89179027149 0
580 980.509802606041 0
582 3065.64491476835 0
588 999.794951911341 0
590 980.320975474256 0
592 2254.55342895681 0
594 1008.14897608485 0
598 2058.67599027294 0
602 2048.20037191212 0
612 2025.58671272605 0
614 2590.47141919152 0
616 954.843286228976 0
618 1053.22974815425 0
620 1671.57555797096 0
622 1201.17627723516 0
626 1745.10305760306 0
630 1035.65286012019 0
632 967.068090800342 0
634 3213.02666229074 0
636 1143.20980759027 0
638 944.481858354013 0
640 1508.21062256207 0
642 1421.57482612713 0
644 1100.01934922119 0
648 1723.19136940076 0
650 1043.46717004234 0
652 2061.95074701933 0
654 1546.55943886806 0
656 1111.65792132451 0
658 1010.02684351808 0
660 920.085393258427 0
662 1925.01880406168 0
664 1093.78722404132 0
666 1409.0561935364 0
668 1111.07790937738 0
670 1018.5768998989 0
674 997.678105412063 0
676 1955.85858682451 0
680 1690.9829017429 0


# N-1, strided, PLFS yaxis 2


