# SELECT write_total_time_max,hints,mpihome,mpihost,obj_size,total_size_mb,test_type,strided,target,write_file_open_wait_time_max,num_hosts FROM experiment WHERE  !isnull(write_file_open_wait_time_max) && mpihost like 'rrz' && test_type=2 && isnull(error) && target rlike 'stat' && total_size_mb>20*1000 && total_size_mb<22*1024 && isnull(user_error) (1239381519)
# xpoint ypoint ydev
# N-1, strided, PanFS yaxis 1
2 0.003232595 0.000101445
100 0.52714144 0.560554853965581
200 1.20760275 0.26881630144522
300 0.980247 0.437335409315322
400 1.64759225 0.816444337946677
500 0.823279 0.53324315081271
800 0.499957 0


# N-1, strided, PanFS yaxis 2


# N-1, strided, PLFS yaxis 1
2 0.11672395 0.02586505
4 0.0900192 0
6 0.091989 0
8 0.141916 0
10 0.113737 0
12 0.250297 0
14 0.099076 0
16 0.146585 0
18 1.04099 0
20 0.775962 0
22 1.1340175 0.8653925
24 1.072952 0.081498
26 1.165765 0.130555
28 1.0442815 0.1603485
30 1.0233165 0.0341635
32 1.058246 0.0828340000000001
34 1.41987 0.24014
36 0.272421 0
38 1.33303 0.08002
40 0.6522195 0.0885365
42 1.69472 0.02329
44 1.1307335 0.1668665
46 1.69303 0.20084
48 1.33456 0.24895
50 1.28389 0.12295
52 1.35876 0.06972
54 1.404745 0.311475
56 1.71876 0.57083
58 1.92112 0.21246
60 1.6268 0.2709
62 1.467595 0.223235
64 2.027935 0.651865
66 1.912875 0.222275
68 2.64343 0.0194000000000001
70 1.987945 0.224545
72 2.27869 0.75807
74 1.816835 0.0439450000000001
76 2.032685 0.422295
78 1.47978 0.0234
80 1.40431 0.04233
82 2.123585 0.604695
84 1.56984 0.12177
86 1.25845 0.14308
88 1.666 0.39461
90 1.979195 0.386655
92 1.82466 0.0971900000000001
94 2.16244 0
96 2.12882 0
98 1.47328 0
100 1.63471 0
102 1.25597 0
104 2.13068 0
106 2.66965 0
108 2.14509 0
110 0.930674 0
112 1.7971 0
114 1.83303 0
116 1.53359 0
118 2.27236 0
120 2.63599 0
122 3.4889 0
124 3.01214 0
126 2.69883 0
128 1.9971 0
130 2.5992 0
132 1.95758 0
134 2.43532 0
136 2.4632 0
138 2.35638 0
140 2.1038 0
142 1.97911 0
144 1.86678 0
146 2.51063 0
148 1.96065 0
150 1.81664 0
152 2.69883 0
154 2.08464 0
156 1.08612 0
158 1.98243 0
160 3.08441 0
162 2.30692 0
164 1.58852 0
166 1.80131 0
170 2.72078 0
172 2.51987 0
174 2.05449 0
176 1.90658 0
178 2.12659 0
180 2.25428 0
182 2.66898 0
184 3.07856 0
186 2.27401 0
188 3.38593 0
190 2.98407 0
192 2.14376 0
194 3.22775 0
196 2.1531 0
198 2.38163 0
200 2.56935 0
202 1.50188 0
204 1.82684 0
206 2.59831 0
208 2.1043 0
210 2.21287 0
212 2.92645 0
214 3.54562 0
216 2.28718 0
218 2.25289 0
220 2.20099 0
222 2.71688 0
224 2.16513 0
226 2.19324 0
228 1.83102 0
230 1.78324 0
232 2.20285 0
234 2.44135 0
236 2.23022 0
238 2.49734 0
240 1.46727 0
242 1.95497 0
244 2.25001 0
246 1.99195 0
248 2.83038 0
252 3.46034 0
254 2.73733 0
256 3.27938 0
258 2.81359 0
260 2.71151 0
262 1.24658 0
264 2.81464 0
266 1.96821 0
268 1.51817 0
270 2.95234 0
272 2.22722 0
274 2.6438 0
276 3.09752 0
278 7.9672 0
280 2.29932 0
282 2.20204 0
284 2.67512 0
286 2.98363 0
290 2.87248 0
292 1.94054 0
294 2.96705 0
296 2.4718 0
298 2.57062 0
300 1.18981 0
302 2.23984 0
304 2.99507 0
306 3.00964 0
308 2.77588 0
310 2.57131 0
312 2.71746 0
314 2.79759 0
316 2.10638 0
318 2.54399 0
320 2.45368 0
322 2.53316 0
324 2.33413 0
326 2.24912 0
328 2.30989 0
330 1.4771 0
332 2.99467 0
334 2.71976 0
336 2.62665 0
338 2.51878 0
340 2.52219 0
342 1.66946 0
344 1.5776 0
346 2.3942 0
348 2.12726 0
350 2.4799 0
352 2.4105 0
354 4.51907 0
356 2.25337 0
358 2.47613 0
360 2.23749 0
362 2.3764 0
364 2.93449 0
366 2.82174 0
368 3.21292 0
370 2.91495 0
372 1.78616 0
374 2.84564 0
376 2.74055 0
378 2.73802 0
380 2.76132 0
382 2.74023 0
384 3.70514 0
386 2.52492 0
388 3.30146 0
390 2.22122 0
392 2.62001 0
394 3.05781 0
396 2.46455 0
398 3.37062 0
400 3.13458 0
402 3.282 0
404 3.82646 0
406 2.59004 0
408 2.32657 0
410 2.95501 0
412 2.51706 0
414 3.17259 0
416 3.04852 0
418 3.04797 0
420 2.77252 0
424 2.92494 0
426 2.63633 0
428 2.71362 0
430 3.96964 0
432 2.13555 0
434 1.94123 0
436 2.47644 0
438 3.29038 0
440 2.62562 0
442 2.76568 0
444 3.13699 0
446 3.5142 0
448 2.42666 0
450 2.94919 0
452 2.55943 0
456 3.18486 0
458 4.26518 0
460 3.14861 0
462 3.59751 0
464 2.45693 0
466 3.38823 0
468 2.86756 0
470 3.91624 0
472 3.48231 0
474 3.441 0
476 4.39055 0
478 3.54013 0
480 2.31557 0
482 3.858 0
484 2.86668 0
486 3.25226 0
488 2.489 0
490 3.81137 0
492 2.50459 0
494 2.76963 0
496 2.77336 0
498 3.28669 0
500 2.37488 0
504 2.84235 0
506 3.09807 0
508 3.01705 0
510 2.93426 0
512 4.44593 0
514 4.0702 0
516 2.95694 0
518 2.63724 0
520 2.6498 0
522 2.11449 0
524 3.28011 0
526 2.3726 0
528 2.54287 0
532 3.71192 0
534 3.19532 0
536 3.53257 0
538 3.82943 0
540 2.19283 0
542 3.02054 0
544 2.61336 0
548 3.2507 0
550 2.86117 0
552 2.70784 0
554 3.69444 0
556 3.08122 0
558 2.71884 0
560 2.23017 0
562 3.15148 0
564 2.75542 0
568 2.70096 0
570 2.82145 0
572 4.70843 0
574 3.81066 0
578 3.78885 0
580 2.98695 0
582 2.88278 0
588 3.8898 0
590 1.95924 0
592 3.58639 0
594 2.88931 0
598 2.95892 0
602 3.60421 0
612 3.27278 0
614 4.04481 0
616 3.98273 0
618 3.95618 0
620 3.9763 0
622 3.56215 0
626 2.95365 0
630 3.19424 0
632 3.9196 0
634 4.12625 0
636 3.66072 0
638 3.77525 0
640 3.67364 0
642 4.05027 0
644 4.07253 0
648 3.88302 0
650 4.76629 0
652 3.68421 0
654 4.27611 0
656 2.94404 0
658 4.84416 0
660 2.89379 0
662 4.21571 0
664 3.36028 0
666 3.67485 0
668 3.86255 0
670 2.54256 0
674 3.05404 0
676 2.63597 0
680 4.90342 0


# N-1, strided, PLFS yaxis 2


