# SELECT write_total_time_max,hints,mpihome,mpihost,obj_size,total_size_mb,test_type,strided,target,write_file_close_wait_time_max,num_hosts FROM experiment WHERE  !isnull(write_file_close_wait_time_max) && mpihost like 'rrz' && test_type=2 && isnull(error) && target rlike 'stat' && total_size_mb>20*1000 && total_size_mb<22*1024 && isnull(user_error) (1239381521)
# xpoint ypoint ydev
# N-1, strided, PanFS yaxis 1
2 1.58292 0.35631
100 2.8003274 2.80409001748999
200 3.5544385 1.86441383489201
300 16.7657475 13.9514169528679
400 11.0146225 12.2971735908955
500 14.3240266666667 8.29534067623239
800 96.2855 0


# N-1, strided, PanFS yaxis 2


# N-1, strided, PLFS yaxis 1
2 0.4452285 0.0981345
4 0.632144 0
6 0.190076 0
8 0.618179 0
10 0.55015 0
12 0.428181 0
14 0.539878 0
16 0.514487 0
18 0.435093 0
20 0.937786 0
22 0.454924 0.021599
24 0.3172635 0.0448675
26 0.48024 0.177866
28 0.3924095 0.0719695
30 0.5185025 0.0769675
32 0.8303225 0.0316655
34 0.493808 0.00956300000000002
36 0.626386 0
38 0.5398395 0.1366345
40 1.026364 0.047176
42 0.6451455 0.1317565
44 0.452381 0.107054
46 1.35068 0.07461
48 0.876612 0.172458
50 0.6177005 0.0479715
52 0.3788 0.122025
54 1.0988265 0.2111235
56 1.111795 0.012825
58 1.11598 0.06975
60 0.728982 0.02937
62 0.401424 0.018166
64 1.734965 0.201785
66 1.659665 0.114135
68 1.13296 0.10931
70 1.330535 0.0146249999999999
72 1.12551 0.0335099999999999
74 0.7697945 0.1353635
76 0.689241 0.126817
78 0.6754195 0.0471455
80 2.097015 0.0800349999999999
82 1.98617 0.10048
84 1.727695 0.124485
86 1.54927 0.0856500000000001
88 1.64618 0.11895
90 1.45196 0.0152500000000001
92 1.699815 0.108775
94 1.60004 0
96 1.14479 0
98 1.12699 0
100 1.48101 0
102 0.699636 0
104 0.482149 0
106 1.33326 0
108 2.86974 0
110 2.98269 0
112 3.24492 0
114 2.80943 0
116 2.47456 0
118 3.00165 0
120 3.39529 0
122 2.64241 0
124 2.55294 0
126 2.25072 0
128 1.97392 0
130 2.4908 0
132 1.75431 0
134 2.24744 0
136 2.10305 0
138 1.78975 0
140 1.36101 0
142 1.4807 0
144 2.72228 0
146 1.07651 0
148 1.09526 0
150 0.942223 0
152 1.20968 0
154 0.779781 0
156 0.885125 0
158 0.703772 0
160 6.40813 0
162 5.84009 0
164 4.98271 0
166 4.9128 0
170 5.56126 0
172 5.75755 0
174 4.7793 0
176 5.08705 0
178 5.03395 0
180 5.44754 0
182 4.93179 0
184 4.85082 0
186 5.0911 0
188 4.64741 0
190 4.25629 0
192 5.05603 0
194 4.79489 0
196 5.83458 0
198 4.37058 0
200 3.89828 0
202 3.83241 0
204 3.84579 0
206 4.95525 0
208 4.90981 0
210 4.21076 0
212 4.94745 0
214 3.80676 0
216 3.6656 0
218 3.92348 0
220 5.21112 0
222 3.8495 0
224 3.81829 0
226 4.20617 0
228 3.69017 0
230 3.07247 0
232 3.36546 0
234 3.01669 0
236 3.75146 0
238 4.16098 0
240 3.63893 0
242 3.76624 0
244 3.27665 0
246 3.64795 0
248 3.80352 0
252 2.78887 0
254 2.94333 0
256 3.42092 0
258 3.13053 0
260 2.6671 0
262 2.75208 0
264 2.97027 0
266 3.04848 0
268 3.12692 0
270 2.3341 0
272 2.43233 0
274 3.07825 0
276 2.39686 0
278 3.18841 0
280 2.16912 0
282 2.47008 0
284 2.39233 0
286 2.37884 0
290 2.55728 0
292 1.75721 0
294 2.32272 0
296 2.91682 0
298 2.00288 0
300 1.90681 0
302 1.77496 0
304 2.18318 0
306 1.93492 0
308 1.63622 0
310 1.88543 0
312 1.50676 0
314 1.40236 0
316 1.36772 0
318 1.42614 0
320 21.5566 0
322 21.8194 0
324 21.9665 0
326 23.0793 0
328 20.8136 0
330 22.0149 0
332 22.1161 0
334 20.808 0
336 21.0483 0
338 21.6172 0
340 22.2865 0
342 21.3599 0
344 22.0163 0
