# SELECT write_total_time_max,hints,mpihome,mpihost,obj_size,total_size_mb,test_type,strided,target,read_file_open_wait_time_max,num_hosts FROM experiment WHERE  !isnull(read_file_open_wait_time_max) && mpihost like 'rrz' && test_type=2 && isnull(error) && target rlike 'stat' && total_size_mb>20*1000 && total_size_mb<22*1024 && isnull(user_error) (1239381527)
# xpoint ypoint ydev
# N-1, strided, PanFS yaxis 1
2 0.01768615 0.00671005
100 1.571038 0.229953267113125
200 1.653505 0.20377936911032
300 1.11757433333333 0.381704945104927
400 1.307144 0.260904176172019
500 1.28437 0.0497871308673236
600 1.91261 0
700 2.03389 0
800 1.76709 0


# N-1, strided, PanFS yaxis 2


# N-1, strided, PLFS yaxis 1
2 5.70217 0.0735800000000002
4 7.13636 0
6 8.78226 0
8 13.555 0
10 3.80338 0
12 3.71495 0
14 3.75362 0
16 3.82391 0
18 3.85975 0
20 4.34805 0
22 4.18527 0.0842700000000001
24 4.73384 0.42455
26 5.055675 0.0223949999999999
28 5.70317 0.10384
30 4.291695 0.0244149999999999
32 4.268885 0.0444550000000001
34 4.33736 0.0672900000000003
36 4.5177 0.29205
38 4.223115 0.0671549999999996
40 4.52735 0.12801
42 4.273605 0.135655
44 4.66052 0.37345
46 4.429145 0.0439050000000001
48 4.851015 0.527465
50 4.88944 0.11016
52 4.625745 0.308935
54 5.1751 0.61796
56 4.3458 0.1237
58 4.39942 0.08447
60 4.95087 0.47431
62 5.321135 0.980885
64 4.53223 0.0897299999999999
66 4.63594 0.0145900000000001
68 5.26831 0.54814
70 4.90498 0.47462
72 4.61704 0.0603099999999999
74 5.21301 0.59516
76 5.037005 0.425375
78 5.29208 0.38214
80 4.65572 0.0187500000000003
82 4.734825 0.0049450000000002
84 5.025165 0.430135
86 4.67586 0.14716
88 4.69991 0.0977500000000004
90 5.329155 0.532035
92 4.85915 0.28271
94 5.56579 0
96 5.39487 0
98 5.28586 0
100 5.299 0
102 4.45843 0
104 5.08849 0
106 6.04464 0
108 4.87087 0
110 4.69255 0
112 5.20393 0
114 4.85989 0
116 5.93306 0
118 4.61658 0
120 4.84394 0
122 5.77415 0
124 6.18107 0
126 6.119 0
128 5.00415 0
130 6.33889 0
132 5.81428 0
134 4.87125 0
136 6.0674 0
138 5.94891 0
140 5.53356 0
142 5.77612 0
144 5.25767 0
146 4.73199 0
148 4.70896 0
150 4.71527 0
152 5.20015 0
154 5.33965 0
156 5.10979 0
158 4.94287 0
160 5.20015 0
162 5.56681 0
164 5.8761 0
166 5.60614 0
170 4.87455 0
172 5.88448 0
174 5.77695 0
176 5.62287 0
178 4.88251 0
180 5.86438 0
182 5.13747 0
184 5.64216 0
186 6.0792 0
188 5.28782 0
190 5.61117 0
192 5.48076 0
194 6.27205 0
196 6.25701 0
198 6.25287 0
200 4.88643 0
202 5.99175 0
204 6.31171 0
206 5.20891 0
208 6.34488 0
210 6.08346 0
212 5.44866 0
214 5.23395 0
216 6.57255 0
218 6.23009 0
220 5.2278 0
222 6.16871 0
224 5.19927 0
226 5.45571 0
228 6.13898 0
230 6.38944 0
232 6.43207 0
236 5.63377 0
238 5.89886 0
240 6.4984 0
242 6.43117 0
244 5.37305 0
246 6.44992 0
248 6.23028 0
250 7.34423 0
252 5.53965 0
254 6.57717 0
256 6.35118 0
258 8.19913 0
262 6.17722 0
264 5.78215 0
266 8.42007 0
268 5.97229 0
270 6.02015 0
272 6.17113 0
274 6.06612 0
276 7.9709 0
278 6.70727 0
280 5.81196 0
282 5.57684 0
284 6.35549 0
286 6.54871 0
288 6.84634 0
290 6.31672 0
292 6.25142 0
294 6.38824 0
296 5.8795 0
298 6.57721 0
300 6.27362 0
302 5.92014 0
304 6.39666 0
306 6.29355 0
308 5.96503 0
310 6.11929 0
312 6.78857 0
314 6.11106 0
316 6.20964 0
318 5.8412 0
320 7.63666 0
322 8.02823 0
324 7.50317 0
326 7.36636 0
328 8.05569 0
330 7.17339 0
332 7.32066 0
334 7.49656 0
336 7.39181 0
338 7.76943 0
340 7.58765 0
342 7.90339 0
344 7.03067 0
346 7.40436 0
348 7.70466 0
350 8.09325 0
352 9.06475 0
354 9.82955 0
356 7.73837 0
358 8.40406 0
360 7.30107 0
362 8.5662 0
364 7.69244 0
366 8.02005 0
368 7.7153 0
370 8.06422 0
372 10.5285 0
374 7.2293 0
376 8.18229 0
378 7.664 0
380 11.1908 0
382 8.36312 0
384 8.97041 0
386 7.97841 0
388 7.61826 0
390 7.81809 0
392 7.59352 0
394 7.53016 0
396 7.34743 0
398 8.15566 0
400 7.74918 0
402 8.16122 0
404 8.04001 0
406 7.81733 0
408 8.51679 0
410 8.12406 0
412 8.39677 0
414 11.3362 0
416 7.95237 0
418 8.1142 0
420 7.85078 0
422 7.63219 0
424 7.8494 0
426 10.3146 0
428 8.38582 0
430 7.85155 0
432 8.07567 0
434 9.07361 0
436 8.28115 0
438 7.97475 0
440 8.09887 0
442 8.93383 0
444 7.91456 0
446 8.51145 0
448 7.93696 0
450 8.76849 0
452 8.15242 0
456 8.2293 0
458 7.94164 0
460 10.628 0
462 8.17552 0
464 12.1262 0
466 12.3867 0
468 9.37409 0
470 9.11301 0
472 8.81507 0
474 8.16256 0
476 8.12665 0
478 9.22574 0
480 8.66835 0
482 7.75457 0
484 8.49596 0
486 8.71314 0
488 8.38665 0
490 28.3099 0
492 9.00099 0
496 8.47025 0
498 8.88121 0
500 13.7241 0
502 8.56933 0
504 8.42158 0
506 8.76016 0
508 8.95112 0
510 8.97527 0
512 8.17698 0
516 8.76214 0
518 8.68927 0
520 8.32671 0
522 9.34884 0
524 9.16713 0
526 8.77299 0
528 13.9109 0
530 9.08372 0
532 8.7247 0
534 7.87166 0
536 8.34865 0
538 8.72569 0
542 8.99458 0
544 9.75093 0
546 9.98043 0
548 11.1742 0
550 7.9212 0
552 8.53502 0
556 13.8327 0
558 8.943 0
560 9.09738 0
562 9.45796 0
564 8.63881 0
566 9.58124 0
568 8.64399 0
570 9.0239 0
572 9.3502 0
574 8.66898 0
580 9.92897 0
582 9.78254 0
584 10.6847 0
588 9.07023 0
590 8.39434 0
592 11.3942 0
594 9.64266 0
598 14.5545 0
602 10.8187 0
604 9.82538 0
608 8.4833 0
612 13.1225 0
614 9.64266 0
616 11.1379 0
618 10.244 0
620 8.87564 0
622 9.7387 0
624 9.01201 0
626 9.46448 0
632 12.2315 0
634 11.0738 0
636 10.5065 0
638 10.2575 0
640 8.77524 0
642 14.659 0
644 9.00796 0
648 10.3298 0
650 10.4881 0
652 10.0374 0
654 8.8651 0
656 8.88762 0
658 9.85978 0
660 11.7314 0
664 9.62053 0
668 12.9846 0
670 10.453 0
674 14.6808 0
676 9.81065 0
678 9.8638 0
680 10.3608 0


# N-1, strided, PLFS yaxis 2


