# SELECT write_total_time_max,hints,mpihome,mpihost,obj_size,total_size_mb,test_type,strided,target,read_file_close_wait_time_max,num_hosts FROM experiment WHERE  !isnull(read_file_close_wait_time_max) && mpihost like 'rrz' && test_type=2 && isnull(error) && target rlike 'stat' && total_size_mb>20*1000 && total_size_mb<22*1024 && isnull(user_error) (1239381529)
# xpoint ypoint ydev
# N-1, strided, PanFS yaxis 1
2 0.002289415 0.000535365
100 0.09836908 0.0162239785319631
200 0.33125725 0.0897204627506317
300 0.553334 0.312615242252624
400 0.5425754 0.226804886235372
500 0.586275 0.23346011360116
600 2.5368 0
700 1.30252 0
800 1.00982 0


# N-1, strided, PanFS yaxis 2


# N-1, strided, PLFS yaxis 1
2 5.00679e-05 5.0068e-06
4 0.000247002 0
6 7.00951e-05 0
8 0.000130177 0
10 6.79493e-05 0
12 0.000167847 0
14 0.000232935 0
16 0.000393867 0
18 0.000360966 0
20 0.000311852 0
22 0.000690936 0.000413894
24 0.000404954 0.000146031
26 0.0002189875 1.20405e-05
28 0.0006030795 0.0002800225
30 0.000262976 2.7895e-05
32 0.0008360135 0.0004390465
34 0.0005419255 0.0002889635
36 0.0011725445 0.0006945155
38 0.00144255 0.00019753
40 0.000354886 1.7047e-05
42 0.0004065035 5.34055e-05
44 0.0010579805 0.0006300195
46 0.0004395245 7.76055e-05
48 0.0004060265 0.0001518725
50 0.0008860845 0.0004049555
52 0.000556588 0.000285506
54 0.024987445 0.024717555
56 0.0003085135 6.74725e-05
58 0.0006209615 9.31025e-05
60 0.000679493 0.00021863
62 0.0006289485 0.0003049375
64 0.00050199 0.000172019
66 0.0005995035 5.04255e-05
68 0.0004484655 0.0001864435
70 0.0011736145 0.0006624455
72 0.000543952 6.2108e-05
74 0.0004760025 7.78435e-05
76 0.000519514 0.000113487
78 0.0007281285 0.0004909015
80 0.0008389935 0.0007028565
82 0.0005500315 0.0001049045
84 0.000257492 4.3392e-05
86 0.0008028755 0.0003010045
88 0.0005649325 0.0002399685
90 0.0007950085 0.0002669115
92 0.000529051 2.0027e-05
94 0.00277019 0
96 0.000319004 0
98 0.000267983 0
100 0.11766 0
102 0.00105905 0
104 0.000541925 0
106 0.000339985 0
108 0.000396013 0
110 0.00115085 0
112 0.00177503 0
114 0.0011909 0
116 0.000711918 0
118 0.000519037 0
120 0.00117516 0
122 0.000291824 0
124 0.000292063 0
126 0.000252008 0
128 0.000267983 0
130 0.000435114 0
132 0.000172138 0
134 0.000432968 0
136 0.00018096 0
138 0.000277042 0
140 0.00026989 0
142 0.000231028 0
144 0.000374079 0
146 0.00114989 0
148 0.00286794 0
150 0.00209212 0
152 0.000453949 0
154 0.00983381 0
156 0.000446081 0
158 0.000442982 0
160 0.000408888 0
162 0.000374079 0
164 0.000252962 0
166 0.000303984 0
170 0.000342131 0
172 0.0399051 0
174 0.000535011 0
176 0.000272989 0
178 0.000498056 0
180 0.000594139 0
182 0.00712991 0
184 0.000809908 0
186 0.000463009 0
188 0.1268 0
190 0.000509977 0
192 0.00040102 0
194 0.000287056 0
196 0.000183105 0
198 0.000390053 0
200 0.000461102 0
202 0.00201893 0
204 0.000868082 0
206 0.000231981 0
208 0.000375986 0
210 0.000437975 0
212 0.000231981 0
214 0.00101996 0
216 0.022059 0
218 0.00133705 0
220 0.000390053 0
222 0.000236988 0
224 0.000406981 0
226 0.000846863 0
